TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Binned,CustomerAge_Binned,Target
-1.0513507514268516,1,36,0,1.4204622458580292,0,-0.5440196682231627,-0.10527437459868337,0.0005763083394964923,105,0,1,3
0.39509763097239164,1,15,0,1.3078337941465337,0,0.31514939366951483,-0.10527437459868337,2.2268168156940633,192,2,1,0
-0.6032173577910787,1,23,2,-1.4515632727851073,3,-0.9020067773451117,-0.10527437459868337,-1.0266812524263094,41,1,2,1
-0.37072319697522915,1,33,2,-1.057363691794873,3,-1.3459107926563285,-0.10527437459868337,0.8906013465446654,163,1,2,3
-1.053906949037608,0,1,2,-1.057363691794873,3,1.1313600024675585,-0.10527437459868337,0.5971764264466273,16,0,2,1
-0.739574524089878,1,28,0,-1.5078774986408552,3,0.7590534089807316,-0.10527437459868337,-1.1143925588947283,13,1,2,1
-1.0793491033821703,0,39,0,-0.4379072073816474,0,0.2865104249397589,-0.10527437459868337,2.1129648776885595,226,0,0,0
-0.422965485645068,0,16,1,1.2515195682907858,2,2.4630720484012087,-0.10527437459868337,-0.595709699943196,271,1,1,2
-0.683338176653232,0,11,1,0.35049195459882143,1,-0.4724222463987729,-0.10527437459868337,1.0260496223156637,290,1,0,2
2.1513651519128727,1,26,0,0.5757488580218125,0,0.014440222007077688,-0.10527437459868337,-1.0525489688700291,9,3,1,1
-1.0366126745773327,0,0,2,0.40680618045456923,1,-0.8590483242504778,-0.10527437459868337,0.6409767242609565,22,0,0,1
-0.34867599258245313,1,22,2,-1.3389348210736118,3,0.7733728933456095,-0.10527437459868337,-0.9220311874744389,49,1,2,1
0.8675149019103522,0,23,1,-1.1699921435063685,3,-0.11443513727682394,-0.10527437459868337,-0.8985476160916211,135,3,2,3
2.0147683420880647,1,22,0,-1.057363691794873,3,0.057398675101711566,-0.10527437459868337,-1.2668104891974834,43,3,2,1
-0.4406591659820239,1,21,2,-1.5078774986408552,3,0.21491300311536912,-0.10527437459868337,-1.238427319487563,226,1,2,0
0.7514076135592657,1,10,0,-0.4942214332373952,1,0.14331558129097932,-0.10527437459868337,-0.4233869905196688,355,3,0,2
1.1122708231403,0,2,1,-1.4515632727851073,3,0.5585806278724401,-0.10527437459868337,-1.0243872208396312,72,3,2,1
0.8611643484711288,1,8,2,-0.32527875567015185,1,1.646861439603165,-0.10527437459868337,-4.17895538115595e-07,327,3,0,2
-1.0330180216872062,0,0,1,0.8010057614448036,2,-0.18603255910121375,-0.10527437459868337,0.730794111355529,337,0,1,2
-0.8221317187997838,0,8,2,-1.5078774986408552,3,0.7160949558860976,-0.10527437459868337,0.3755461985983287,177,0,2,0
-0.8706994734041599,1,20,1,1.476776471713777,2,-1.1597574959129149,-0.10527437459868337,0.16501537610375516,181,0,1,0
-0.7650566190221083,1,19,1,-0.38159298152589965,0,-0.3721858558446272,-0.10527437459868337,1.0391933161989315,110,1,0,3
-0.8991371718238275,1,1,2,-0.32527875567015185,1,0.014440222007077688,-0.10527437459868337,0.9950995059257008,38,0,0,1
-0.5263317265300393,1,33,2,-1.3389348210736118,3,-0.32922740274999335,-0.10527437459868337,-0.8184908055908718,46,1,2,1
